着順,枠,馬番,馬名,性齢,負担重量,騎手,タイム,着差,平均１ Ｆ,馬体重,調教師,単勝人気
  1,, 12, アップトゥデイト,牡5,63.0,,林満明,4:46.6,レコード,13.5,522,-4,佐々木晶三,4
  2,, 13, ソンブレロ,牡5,63.0,,高田潤,4:48.3,大差,13.6,476,+4,松田国英,5
  3,,  7, サンレイデューク,牡7,63.0,,難波剛健,4:48.7,２ 1/2,13.6,462,+8,高橋義忠,3
  4,,  6, シャイニーブラック,せん8,63.0,,浜野谷憲尚,4:50.3,１０,13.7,466, 0,伊藤伸一,6
  5,,  5, アポロマーベリック,牡6,63.0,,五十嵐雄祐,4:50.7,２ 1/2,13.7,528,+4,堀井雅広,2
  6,,  2, ティリアンパープル,牝5,61.0,,山本康志,4:50.7,クビ,13.7,462,-8,金成貴史,11
  7,,  4, レッドキングダム,牡6,63.0,,西谷誠,4:51.4,４,13.7,466,-10,松永幹夫,1
  8,,  3, ビコーピリラニ,牡5,63.0,,田村太雅,4:52.0,３ 1/2,13.7,478,+2,田所秀孝,14
  9,,  8, ミヤコデラックス,牡6,63.0,,小野寺祐太,4:54.7,大差,13.9,482,+8,菅原泰夫,12
 10,, 10, サンマルボス,牡8,63.0,,高野和馬,5:02.0,大差,14.2,478,-2,佐藤吉勝,15
中止,,  1, ファイヤー,牡7,63.0,,森一馬,,　,,518, 0,本田優,7
中止,,  9, カントリースノー,せん8,63.0,,原田和真,,　,,508,-8,栗田博憲,13
中止,, 11, リキアイクロフネ,牡8,63.0,,金子光希,,　,,462,+6,田中剛,9
中止,, 14, ショウナンカミング,牡7,63.0,,草野太郎,,　,,474,-4,田中剛,10
中止,, 15, テンジンキヨモリ,牡5,63.0,,江田勇亮,,　,,500,+16,武井亮,8
