着順,枠,馬番,馬名,性齢,負担重量,騎手,タイム,着差,コーナー通過順位,推定上り,馬体重（増減）,調教師,単勝人気
1,,8,                    ブラストワンピース                  ,牡3,55.0,池添 謙一,2:32.2,,6674,35.7,                    534(+4),大竹 正博,3
2,,12,                    レイデオロ                  ,牡4,57.0,C.ルメール,2:32.2,クビ,9998,35.4,                    490(+8),藤沢 和雄,1
3,,15,                    シュヴァルグラン                  ,牡6,57.0,H.ボウマン,2:32.4,１ 1/4,13111110,35.5,                    470(+2),友道 康夫,9
4,,11,                    ミッキーロケット                  ,牡5,57.0,O.マーフィー,2:32.7,１ 1/2,2222,36.6,                    472(-2),音無 秀孝,8
5,,14,                    キセキ                  ,牡4,57.0,川田 将雅,2:32.8,３／４,1111,37.5,                    506(+2),中竹 和也,2
6,,6,                    サトノダイヤモンド                  ,牡5,57.0,B.アヴドゥラ,2:32.8,クビ,8878,36.2,                    506(+2),池江 泰寿,6
7,,16,サクラアンプルール                  ,牡7,57.0,田辺 裕信,2:32.9,クビ,13141412,35.6,                    486(+18),金成 貴史,15
8,,3,                    モズカッチャン                  ,牝4,55.0,M.デムーロ,2:33.0,３／４,6644,36.7,                    486(-4),鮫島 一歩,4
9,,1,                    オジュウチョウサン                  ,牡7,57.0,武 豊,2:33.0,アタマ,3322,36.9,                    514(+2),和田 正一郎,5
10,,4,                    マカヒキ                  ,牡5,57.0,岩田 康誠,2:33.0,アタマ,99910,36.3,                    504(+10),友道 康夫,12
11,,10,                    ミッキースワロー                  ,牡4,57.0,横山 典弘,2:33.1,１／２,16161616,35.4,                    480(-2),菊沢 隆徳,10
12,,9,リッジマン                  ,牡5,57.0,蛯名 正義,2:33.4,２,13141414,36.1,                    446(0),庄野 靖志,13
13,,13,                    スマートレイアー                  ,牝8,55.0,戸崎 圭太,2:33.5,クビ,11131214,36.4,                    460(-18),大久保 龍志,16
14,,5,                    パフォーマプロミス                  ,牡6,57.0,C.デムーロ,2:33.7,１ 1/4,11111212,36.7,                    464(+10),藤原 英昭,7
15,,2,                    クリンチャー                  ,牡4,57.0,福永 祐一,2:33.8,１／２,3544,37.5,                    490(前計不),宮本 博,11
16,,7,                    サウンズオブアース                  ,牡7,57.0,藤岡 佑介,2:34.5,４,3347,38.2,                    504(+14),藤岡 健一,14
