着順,枠,馬番,馬名,性齢,負担重量,騎手,タイム,着差,推定上り,馬体重,調教師,単勝人気
  1,, 10, トゥインクル,牡5,54.0,,勝浦正樹,3:37.8,　,37.1,468,-14,牧田和弥,4
  2,, 16, フェイムゲーム,牡6,58.5,,三浦皇成,3:38.5,４,37.0,470,前計不,宗像義忠,2
  3,,  3, ファタモルガーナ,せん8,56.0,,内田博幸,3:39.3,５,37.5,486,-6,荒川義之,8
  4,,  7, タンタアレグリア,牡4,55.0,,蛯名正義,3:39.5,１ 1/4,38.4,478, 0,国枝栄,1
  5,,  4, マイネルメダリスト,牡8,55.0,,柴田大知,3:40.7,７,39.4,504, 0,田中清隆,13
  6,, 11, モンドインテロ,牡4,54.0,,池添謙一,3:40.8,１／２,39.5,482,+4,手塚貴久,3
  7,,  1, スピリッツミノル,牡4,53.0,,松岡正海,3:41.1,１ 3/4,39.5,494, 0,本田優,11
  8,, 13, ネオブラックダイヤ,牡8,54.0,,秋山真一郎,3:41.2,３／４,40.5,526,+4,鹿戸雄一,9
  9,,  9, サイモントルナーレ,牡10,48.0,,石神深一,3:41.3,１／２,39.2,468,+8,田中清隆,16
 10,, 12, ニューダイナスティ,牡7,54.0,,石橋脩,3:42.1,５,41.0,476,-6,石坂正,15
 11,, 15, カムフィー,牡7,54.0,,横山典弘,3:43.0,５,40.9,466,+6,池上昌和,5
 12,,  6, ゴッドフロアー,牝6,49.0,,井上敏樹,3:43.1,１／２,41.0,496,-6,松永幹夫,14
 13,,  8, エバーグリーン,牡8,51.0,,吉田豊,3:43.1,クビ,41.5,508, 0,新開幸一,12
 14,,  2, ホッコーブレーヴ,牡8,56.0,,田辺裕信,3:44.9,大差,43.0,476,前計不,松永康利,6
 15,,  5, マドリードカフェ,牡5,53.0,,大野拓弥,3:45.6,４,44.2,530,-4,荒川義之,7
 16,, 14, ペルーサ,牡9,56.0,,Ｆ．ヴェロン,3:46.6,６,44.4,522,+6,藤沢和雄,10
