着順,枠,馬番,馬名,性齢,負担重量,騎手,タイム,着差,平均１ Ｆ,馬体重,調教師,単勝人気
  1,, 12, エーシンホワイティ,牡7,60.0,,北沢伸也,3:32.2,　,13.1,512,-4,松元茂樹,1
  2,, 10, ヤマカツハクリュウ,牡7,60.0,,高田潤,3:33.8,１０,13.2,474,-4,松田博資,4
  3,,  7, ホッコーゼニト,牡5,60.0,,難波剛健,3:33.8,クビ,13.2,466,+2,西浦勝一,8
  4,, 11, メイショウヨウドウ,せん6,60.0,,西谷誠,3:34.1,１ 3/4,13.2,484,+6,池添兼雄,2
  5,, 14, メジロサンノウ,牡6,60.0,,原田和真,3:34.2,クビ,13.2,470,+10,大久保洋吉,5
  6,,  6, アムールクエスト,牡5,60.0,,植野貴也,3:34.4,１ 1/2,13.2,470,-6,佐藤正雄,7
  7,,  4, マイネルフィエスタ,牡4,60.0,,熊沢重文,3:34.6,１ 1/2,13.2,506,+4,中村均,6
  8,,  1, ネオレボルーション,せん8,60.0,,五十嵐雄祐,3:34.9,１ 3/4,13.2,500,-12,藤沢和雄,3
  9,,  9, エーシンイグアス,牡6,60.0,,黒岩悠,3:35.0,１／２,13.2,516,-12,坂口正則,12
 10,,  8, ショウナンカミング,牡6,60.0,,山本康志,3:35.3,２,13.2,466,-6,田中剛,10
 11,,  2, シゲルキョクチョウ,牡6,60.0,,白浜雄造,3:36.4,７,13.3,478,-8,湯窪幸雄,9
 12,,  5, ベロセットレコード,牡4,60.0,,浜野谷憲尚,3:45.3,大差,13.9,478,+2,堀井雅広,11
中止,, 13, ピカピカテッタ,牡7,60.0,,金子光希,,　,,496,-14,天間昭一,13
除外,,  3, アサティスボーイ,牡10,60.0,,石神深一,,　,,442,-14,古賀慎明, 
