着順,枠,馬番,馬名,性齢,負担重量,騎手,タイム,着差,コーナー通過順位,推定上り,馬体重（増減）,調教師,単勝人気
1,,13,                    ダノンファンタジー                  ,牝2,54.0,C.デムーロ,1:34.1,,1516,34.0,                    460(0),中内田 充正,1
2,,9,                    クロノジェネシス                  ,牝2,54.0,北村 友一,1:34.2,１／２,1717,33.9,                    436(0),斉藤 崇史,2
3,,11,                    ビーチサンバ                  ,牝2,54.0,福永 祐一,1:34.3,クビ,1110,34.5,                    468(0),友道 康夫,4
4,,4,                    シェーングランツ                  ,牝2,54.0,武 豊,1:34.4,３／４,1514,34.4,                    466(-8),藤沢 和雄,3
5,,3,                    プールヴィル                  ,牝2,54.0,秋山 真一郎,1:34.5,１／２,45,35.1,                    426(+10),庄野 靖志,14
6,,5,                    メイショウショウブ                  ,牝2,54.0,池添 謙一,1:34.8,２,22,35.7,                    482(0),池添 兼雄,7
7,,10,タニノミッション                  ,牝2,54.0,浜中 俊,1:34.9,１／２,1112,35.0,                    484(+4),中竹 和也,5
8,,14,                    サヴォワールエメ                  ,牝2,54.0,藤岡 康太,1:34.9,クビ,1314,34.9,                    448(+2),友道 康夫,15
9,,12,                    レッドアネモス                  ,牝2,54.0,戸崎 圭太,1:34.9,ハナ,810,35.2,                    478(+4),友道 康夫,6
10,,17,                    トロシュナ                  ,牝2,54.0,北村 宏司,1:35.0,クビ,1717,34.6,                    440(0),大竹 正博,12
11,,18,                    メイショウケイメイ                  ,牝2,54.0,古川 吉洋,1:35.0,クビ,88,35.4,                    414(-6),南井 克巳,17
12,,15,                    ローゼンクリーガー                  ,牝2,54.0,藤岡 佑介,1:35.3,１ 3/4,43,36.0,                    460(-4),高橋 亮,13
13,,7,                    ウインゼノビア                  ,牝2,54.0,松若 風馬,1:35.7,２ 1/2,75,36.2,                    460(-2),青木 孝文,10
14,,8,                    ラブミーファイン                  ,牝2,54.0,丸山 元気,1:35.7,クビ,33,36.5,                    438(0),田所 秀孝,16
15,,16,                    グレイシア                  ,牝2,54.0,田辺 裕信,1:35.8,クビ,1312,35.9,                    444(-12),栗田 徹,8
16,,2,                    ジョディー                  ,牝2,54.0,四位 洋文,1:36.4,３ 1/2,88,36.8,                    472(-6),戸田 博文,11
17,,1,                    ベルスール                  ,牝2,54.0,B.アヴドゥラ,1:36.6,１ 1/2,11,37.5,                    444(-2),今野 貞一,9
18,,6,                    スタークォーツ                  ,牝2,54.0,荻野 極,1:36.9,１ 1/2,45,37.5,                    474(+6),寺島 良,18
