着順,枠,馬番,馬名,性齢,負担重量,騎手,タイム,着差,平均１ Ｆ,馬体重,調教師,単勝人気
  1,,  2, メイショウブシドウ,牡5,60.0,,高田潤,3:28.5,　,13.3,462,+4,角居勝彦,1
  2,,  4, ドリームセーリング,牡7,60.0,,石神深一,3:28.7,１ 1/4,13.3,470,-8,田島俊明,6
  3,,  7, オースミムーン,牡5,61.0,,中村将之,3:29.1,２ 1/2,13.3,478, 0,小野幸治,2
  4,,  8, レッドキングダム,牡5,60.0,,西谷誠,3:29.6,３,13.4,466,-6,松永幹夫,3
  5,,  1, マーリンシチー,牡8,60.0,,植野貴也,3:30.1,３,13.4,470,+10,作田誠二,5
  6,, 12, アラタマユニバース,牡5,60.0,,北沢伸也,3:30.9,５,13.4,480, 0,浜田多実雄,4
  7,,  5, シゲルキョクチョウ,牡6,60.0,,小坂忠士,3:31.1,１ 1/4,13.4,484,+6,湯窪幸雄,8
  8,, 11, シゲルヘビザ,牡4,60.0,,田村太雅,3:31.5,２ 1/2,13.5,486,-4,鈴木孝志,9
  9,,  3, アマクサハイヤ,牡5,60.0,,難波剛健,3:31.7,３／４,13.5,502,+10,加藤敬二,10
 10,,  9, シンワカントリー,牡6,60.0,,黒岩悠,3:31.7,クビ,13.5,518,+2,白井寿昭,12
 11,, 10, クリスクリングル,牡4,60.0,,大江原圭,3:32.1,２ 1/2,13.5,498,-6,大江原哲,11
中止,,  6, スリーマーゴーン,牡4,60.0,,白浜雄造,,　,,462,-6,中内田充正,7
中止,, 13, クリノテンペスタ,牡7,60.0,,上野翔,,　,,472,-2,高橋義博,13
