着順,枠,馬番,馬名,性齢,負担重量,騎手,タイム,着差,コーナー通過順位,平均1F,馬体重（増減）,調教師,単勝人気
1,,5,                    ニホンピロバロン                  ,牡8,63.0,石神 深一,4:40.8,,2311,13.7,                    486(0),田所 秀孝,3
2,,6,                    タイセイドリーム                  ,牡8,63.0,平沢 健治,4:40.8,ハナ,4443,13.7,                    546(+2),矢作 芳人,5
3,,4,マイネルプロンプト                  ,せん6,63.0,森 一馬,4:41.1,２,5554,13.7,                    488(0),坂口 正則,6
4,,2,                    シンキングダンサー                  ,牡5,63.0,金子 光希,4:41.5,２ 1/2,7765,13.7,                    480(0),武市 康男,7
5,,8,                    ミヤジタイガ                  ,牡8,63.0,西谷 誠,4:41.9,２ 1/2,2222,13.8,                    502(-4),武 幸四郎,2
6,,3,                    プレシャスタイム                  ,牡5,63.0,北沢 伸也,4:42.5,３ 1/2,88107,13.8,                    438(0),藤沢 則雄,11
7,,10,                    ルペールノエル                  ,牡8,63.0,高田 潤,4:43.4,５,9876,13.8,                    516(+6),藤原 英昭,4
8,,12,シゲルクロカジキ                  ,牡5,63.0,植野 貴也,4:44.5,７,9101110,13.9,                    524(+2),服部 利之,9
9,,13,                    シゲルロウニンアジ                  ,牡5,63.0,中村 将之,4:44.8,１ 3/4,5698,13.9,                    498(-4),湯窪 幸雄,12
10,,1,                      エルゼロ                      ,牡5,63.0,五十嵐 雄祐,4:45.2,２ 1/2,111189,13.9,                    502(+8),武井 亮,8
11,,11,エアカーディナル                  ,牡7,63.0,熊沢 重文,4:45.6,２ 1/2,11121211,13.9,                    496(0),笹田 和秀,10
12,,7,                    トーセンメリッサ                  ,牝6,61.0,大江原 圭,4:49.1,大差,13131312,14.1,                    498(+12),小桧山 悟,13
中止,,9,                    アップトゥデイト                  ,牡8,63.0,白浜 雄造,,,113 ,,                    532(+2),佐々木 晶三,1
