着順,枠,馬番,馬名,性齢,負担重量,騎手,タイム,着差,推定上り,馬体重,調教師,単勝人気
  1,,  8,ミスパンテール,牝4,55.0,,横山典弘,1:23.0,,34.1,506,+6,昆貢,1
  2,, 10,デアレガーロ,牝4,54.0,,池添謙一,1:23.1,１／２,34.0,476,+8,大竹正博,4
  3,, 12,エスティタート,牝5,53.0,,武豊,1:23.1,クビ,34.1,444, 0,松永幹夫,5
  4,, 11,エンジェルフェイス,牝5,54.0,,岩田康誠,1:23.2,クビ,34.5,510,-2,藤原英昭,9
  5,,  2,ワンスインナムーン,牝5,55.0,,石橋脩,1:23.4,１ 1/2,35.1,448,+13,斎藤誠,3
  6,,  5,ヴゼットジョリー,牝4,54.0,,和田竜二,1:23.6,１ 1/4,35.0,472,+2,中内田充正,8
  7,,  4,ミスエルテ,牝4,54.0,,川田将雅,1:23.6,アタマ,34.3,468,+4,池江泰寿,6
  8,,  1,オーヴィレール,牝5,53.0,,四位洋文,1:23.8,１ 1/4,34.8,482,-2,今野貞一,7
  9,,  9,タマモブリリアン,牝5,54.0,,古川吉洋,1:23.9,１／２,35.0,478,+2,南井克巳,12
 10,,  7,サザナミ,牝6,54.0,,浜中俊,1:24.3,２ 1/2,35.0,418,-8,堀宣行,10
 11,,  3,ソルヴェイグ,牝5,55.0,,Ｍ．デムーロ,1:24.5,１ 1/4,36.1,478,+10,鮫島一歩,2
 12,,  6,アリンナ,牝4,54.0,,松若風馬,1:25.1,３ 1/2,36.7,428,+20,松元茂樹,11
