着順,枠,馬番,馬名,性齢,負担重量,騎手,タイム,着差,平均１ Ｆ,馬体重,調教師,単勝人気
  1,,  7, ケイアイドウソジン,牡8,60.0,,江田勇亮,4:23.7,　,13.5,500,-4,田村康仁,4
  2,,  4, オースミムーン,牡5,61.0,,高田潤,4:24.3,３ 1/2,13.6,478,+8,小野幸治,1
  3,,  1, アドマイヤトライ,牡5,60.0,,北沢伸也,4:24.7,２ 1/2,13.6,478,-8,橋田満,6
  4,,  3, オンワードデューク,牝6,58.0,,難波剛健,4:25.4,４,13.6,460,-4,柴田政見,11
  5,,  6, カシマシンセイ,牡5,60.0,,山本康志,4:25.8,２ 1/2,13.6,514,-4,奥村武,12
  6,,  9, テイエムブユウデン,牡7,60.0,,平沢健治,4:25.9,３／４,13.6,484,+12,岩元市三,10
  7,, 11, シゲルキョクチョウ,牡6,60.0,,中村将之,4:25.9,アタマ,13.6,494,+4,湯窪幸雄,8
  8,,  2, テイエムハリアー,牡8,61.0,,熊沢重文,4:27.9,大差,13.7,462,+4,五十嵐忠男,3
  9,, 12, アドマイヤツバサ,牡7,60.0,,小坂忠士,4:29.9,大差,13.8,478,+12,松田博資,5
 10,,  8, メイショウヨシミツ,牡5,60.0,,田村太雅,4:30.0,３／４,13.8,452,-6,梅内忍,9
中止,,  5, テイエムドンマイ,牡6,60.0,,西谷誠,,　,,510,-2,福島信晴,7
中止,, 10, アシュヴィン,牡5,60.0,,林満明,,　,,476,+4,中竹和也,2
