着順,枠,馬番,馬名,性齢,負担重量,騎手,タイム,着差,推定上り,馬体重,調教師,単勝人気
  1,, 16, ラブリーデイ,牡5,58.0,,川田将雅,2:14.4,　,34.8,488,+2,池江泰寿,6
  2,,  6, デニムアンドルビー,牝5,56.0,,浜中俊,2:14.4,クビ,34.0,450,+2,角居勝彦,10
  3,,  1, ショウナンパンドラ,牝4,56.0,,池添謙一,2:14.6,１ 1/4,34.7,446,+4,高野友和,11
  4,, 14, トーホウジャッカル,牡4,58.0,,酒井学,2:14.7,１／２,34.8,484, 0,谷潔,7
  5,, 11, ヌーヴォレコルト,牝4,56.0,,岩田康誠,2:14.7,クビ,34.9,446,-6,斎藤誠,3
  6,,  8, ディアデラマドレ,牝5,56.0,,藤岡康太,2:14.7,ハナ,34.6,454,-2,角居勝彦,8
  7,, 12, レッドデイヴィス,せん7,58.0,,松若風馬,2:14.8,クビ,35.4,494,-4,音無秀孝,12
  8,, 13, ラキシス,牝5,56.0,,Ｃ．ルメール,2:14.8,クビ,34.6,478,+10,角居勝彦,2
  9,,  3, ネオブラックダイヤ,牡7,58.0,,秋山真一郎,2:14.9,クビ,35.1,518, 0,鹿戸雄一,13
 10,,  9, トウシンモンステラ,牡5,58.0,,和田竜二,2:15.1,１ 1/4,34.8,486,-8,村山明,16
 11,,  7, ワンアンドオンリー,牡4,58.0,,Ｍ．デムーロ,2:15.1,クビ,35.0,482,前計不,橋口弘次郎,4
 12,,  2, トーセンスターダム,牡4,58.0,,武豊,2:15.2,１／２,35.5,502,前計不,池江泰寿,9
 13,,  5, カレンミロティック,せん7,58.0,,蛯名正義,2:15.4,１,35.2,456,+2,平田修,5
 14,, 10, オーシャンブルー,牡7,58.0,,松山弘平,2:15.5,３／４,35.8,436,-2,池江泰寿,15
 15,, 15, ゴールドシップ,牡6,58.0,,横山典弘,2:15.6,３／４,35.1,506,-4,須貝尚介,1
 16,,  4, アドマイヤスピカ,牡5,58.0,,幸英明,2:15.7,１／２,35.1,494,+2,松田博資,14
