 ジャスタウェイ, アルキメデス,1
 ジャスタウェイ, ロゴタイプ,1
 ジャスタウェイ, マイネルラクリマ,1
 ジャスタウェイ, ヴェルデグリーン,1
 ジャスタウェイ, トウケイヘイロー,1
 ジャスタウェイ, サダムパテック,2
 ジャスタウェイ, ダイワマッジョーレ,1
 ジャスタウェイ, ユールシンギング,1
 ジャスタウェイ, エアソミュール,1
 ジャスタウェイ, ダークシャドウ,1
 ジャスタウェイ, ダイワファルコン,1
 ジャスタウェイ, ナカヤマナイト,1
 ジャスタウェイ, カレンミロティック,1
 ジャスタウェイ, アユサン,1
 ジャスタウェイ, グランプリボス,1
 ジャスタウェイ, ショウナンマイティ,1
 ジャスタウェイ, ダノンシャーク,1
 ジャスタウェイ, ワールドエース,1
 ジャスタウェイ, グロリアスデイズ,1
 ジャスタウェイ, フィエロ,1
 ジャスタウェイ, カレンブラックヒル,1
 ジャスタウェイ, クラレント,1
 ジャスタウェイ, グランデッツァ,1
 ジャスタウェイ, エキストラエンド,1
 ジャスタウェイ, リアルインパクト,1
 ジャスタウェイ, トーセンラー,2
 ジャスタウェイ, ホエールキャプチャ,1
 ジャスタウェイ, ミッキーアイル,1
 ジャスタウェイ, レッドスパーダ,1
 エピファネイア, ジャスタウェイ,1
 ジャスタウェイ, スピルバーグ,1
 ジャスタウェイ, ジェンティルドンナ,1
 ジャスタウェイ, ハープスター,1
 ジャスタウェイ, アイヴァンホウ,1
 ジャスタウェイ, ワンアンドオンリー,2
 ジャスタウェイ, フェノーメノ,2
 ジャスタウェイ, イスラボニータ,1
 ジャスタウェイ, タマモベストプレイ,1
 ジャスタウェイ, デニムアンドルビー,2
 ジャスタウェイ, ヒットザターゲット,1
 ジャスタウェイ, アンコイルド,1
 ジャスタウェイ, トーセンジョーダン,1
 ジャスタウェイ, ディサイファ,1
 ジャスタウェイ, アップウィズザバーズ,1
 ジャスタウェイ, サトノシュレン,1
 ジャスタウェイ, トレーディングレザー,1
 ジェンティルドンナ, ジャスタウェイ,1
 トゥザワールド, ジャスタウェイ,1
 ゴールドシップ, ジャスタウェイ,1
 ジャスタウェイ, エピファネイア,1
 ジャスタウェイ, ラキシス,1
 ジャスタウェイ, ラストインパクト,1
 ジャスタウェイ, サトノノブレス,1
 ジャスタウェイ, ウインバリアシオン,1
 ジャスタウェイ, ヴィルシーナ,1
 ジャスタウェイ, メイショウマンボ,1
 ジャスタウェイ, オーシャンブルー,1
