 コパノリッキー, ワンダーアキュート,2
 ホッコータルマエ, ワンダーアキュート,3
 ベルシャザール, ワンダーアキュート,1
 ノーザンリバー, ワンダーアキュート,1
 ブライトライン, ワンダーアキュート,1
 ワンダーアキュート, ダノンカモン,2
 ワンダーアキュート, ニホンピロアワーズ,3
 ワンダーアキュート, ドリームバレンチノ,1
 ワンダーアキュート, ゴールスキー,1
 ワンダーアキュート, グランドシチー,2
 ワンダーアキュート, ソロル,1
 ワンダーアキュート, ベストウォーリア,2
 ワンダーアキュート, アドマイヤロイヤル,2
 ワンダーアキュート, シルクフォーチュン,2
 ワンダーアキュート, エーシントップ,1
 ナムラビクター, ワンダーアキュート,1
 ローマンレジェンド, ワンダーアキュート,2
 サンビスタ, ワンダーアキュート,3
 ワンダーアキュート, ワイドバッハ,1
 ワンダーアキュート, カゼノコ,1
 ワンダーアキュート, クリノスターオー,2
 ワンダーアキュート, グレープブランデー,2
 ワンダーアキュート, インカンテーション,1
 ワンダーアキュート, コパノリッキー,2
 ワンダーアキュート, クリソライト,1
 ワンダーアキュート, インペラティヴ,1
 インカンテーション, ワンダーアキュート,1
 ベストウォーリア, ワンダーアキュート,1
 グレープブランデー, ワンダーアキュート,1
 ワイドバッハ, ワンダーアキュート,1
 カゼノコ, ワンダーアキュート,1
 ワンダーアキュート, コーリンベリー,2
 ワンダーアキュート, ハッピースプリント,1
 ワンダーアキュート, キョウワダッフィー,1
 ワンダーアキュート, レッドアルヴィス,1
 ワンダーアキュート, サトノタイガー,1
 ノンコノユメ, ワンダーアキュート,1
 サウンドトゥルー, ワンダーアキュート,1
 ロワジャルダン, ワンダーアキュート,1
 ワンダーアキュート, ナムラビクター,1
 ワンダーアキュート, ダノンリバティ,1
 ワンダーアキュート, ローマンレジェンド,1
 ワンダーアキュート, ガンピット,1
