 ラプレシオーサ, ブランボヌール
 ラプレシオーサ, メジャータイフーン
 ラプレシオーサ, ヒルダ
 ラプレシオーサ, タイニーダンサー
 ラプレシオーサ, マコトルーメン
 ラプレシオーサ, ラッキーボックス
 ラプレシオーサ, メジェルダ
 ラプレシオーサ, コスモフレンチ
 ラプレシオーサ, アルマククナ
 ラプレシオーサ, ドナルチア
 ラプレシオーサ, コラッジョーゾ
 ラプレシオーサ, リンダリンダ
 ラプレシオーサ, オデュッセウス
 ラプレシオーサ, レディトリス
 ラプレシオーサ, ペイシャオトメ
