 スルターナ, アクティブミノル
 スルターナ, タケデンタイガー
 スルターナ, トウショウピスト
 スルターナ, トーセンラーク
 スルターナ, マイネルエスパス
 スルターナ, アンブリカル
 スルターナ, キッズライトオン
 スルターナ, クールホタルビ
 スルターナ, グランドポピー
 スルターナ, カゼノトビラ
 スルターナ, マコトダッソー
 スルターナ, タケルオウジ
 スルターナ, ディアタイガ
 スルターナ, ティーズアライズ
 スルターナ, エンターザスフィア
