 ゴールドハット, プラチナムバレット
 ゴールドハット, サトノクロニクル
 ゴールドハット, ダノンディスタンス
 ゴールドハット, サトノリュウガ
 ゴールドハット, ミッキースワロー
 ゴールドハット, インヴィクタ
 ゴールドハット, メルヴィンカズマ
 ゴールドハット, ウインベラシアス
 ゴールドハット, ハギノアレス
 ゴールドハット, カケルテソーロ
 ゴールドハット, ユキノタイガ
