 エアウィンザー, スワーヴリチャード
 エアウィンザー, エトルディーニュ
 エアウィンザー, ムーヴザワールド
 エアウィンザー, タイセイスターリー
 エアウィンザー, ディアシューター
 エアウィンザー, ビルズトレジャー
 エアウィンザー, チャロネグロ
 エアウィンザー, アサギリジョー
 エアウィンザー, エテレインミノル
 エアウィンザー, サイバーエレキング
