 シングンジョーカー, イスラボニータ
 シングンジョーカー, ベルキャニオン
 シングンジョーカー, サトノアラジン
 シングンジョーカー, マイネルフロスト
 シングンジョーカー, ピオネロ
 シングンジョーカー, ハギノハイブリッド
 シングンジョーカー, ローハイド
 シングンジョーカー, ショウナンワダチ
 シングンジョーカー, ラインカグラ
 シングンジョーカー, ネオヴァロン
 シングンジョーカー, ガリバルディ
 シングンジョーカー, アスペンツリー
 シングンジョーカー, レッドオラシオン
