 セレナビアンカ, フォーエバーモア
 セレナビアンカ, マジックタイム
 セレナビアンカ, ニシノアカツキ
 セレナビアンカ, プレミアステイタス
 セレナビアンカ, デルマサリーチャン
 セレナビアンカ, グリサージュ
 セレナビアンカ, ダイワソフィー
 セレナビアンカ, タイセイティグレス
 セレナビアンカ, シュヴァリエ
 セレナビアンカ, サクラパリュール
 セレナビアンカ, ラインハーディー
 セレナビアンカ, フリュクティドール
 セレナビアンカ, デルフィーノ
 セレナビアンカ, カノーロ
 セレナビアンカ, ツクバアスナロ
