 エルリストン, スマートオーディン
 エルリストン, アグネスフォルテ
 エルリストン, ロイカバード
 エルリストン, ブラックスピネル
 エルリストン, エルプシャフト
 エルリストン, スワーヴアーサー
 エルリストン, ゼンノタヂカラオ
 エルリストン, スズカバーディー
 エルリストン, ダンツエイコウ
 エルリストン, ユウチェンジ
 エルリストン, フォルテミノル
 エルリストン, カルムパシオン
 エルリストン, アドマイヤビスタ
