 テイエムアンムート, ローズプリンスダム
 テイエムアンムート, サルサディオーネ
 テイエムアンムート, エピカリス
 テイエムアンムート, ブライトンロック
 テイエムアンムート, ノーブルサターン
 テイエムアンムート, ハルクンノテソーロ
 テイエムアンムート, テンザワールド
 テイエムアンムート, スターストラック
 テイエムアンムート, タガノグルナ
 テイエムアンムート, タガノカトレア
 テイエムアンムート, トラネコ
 テイエムアンムート, タガノディグオ
 テイエムアンムート, シゲルコング
 テイエムアンムート, イブキ
