 アルマオンディーナ, ショウナンアデラ
 アルマオンディーナ, レッツゴードンキ
 アルマオンディーナ, ココロノアイ
 アルマオンディーナ, ムーンエクスプレス
 アルマオンディーナ, スマートプラネット
 アルマオンディーナ, レオパルディナ
 アルマオンディーナ, ロカ
 アルマオンディーナ, オーミアリス
 アルマオンディーナ, コートシャルマン
 アルマオンディーナ, ダイワプロパー
 アルマオンディーナ, カボスチャン
 アルマオンディーナ, ダノングラシアス
 アルマオンディーナ, クールホタルビ
 アルマオンディーナ, アローシルバー
 アルマオンディーナ, エフェクト
 アルマオンディーナ, トーセンラーク
 アルマオンディーナ, アカリアイドル
