 メイショウサルーテ, レッドアルヴィス
 メイショウサルーテ, コーリンベリー
 メイショウサルーテ, バンズーム
 メイショウサルーテ, アンズチャン
 メイショウサルーテ, ニシケンモノノフ
 メイショウサルーテ, ペアン
 メイショウサルーテ, ケルヴィンサイド
 メイショウサルーテ, タガノエッヴィーバ
 メイショウサルーテ, メイショウパワーズ
 メイショウサルーテ, ワイルドダラー
 メイショウサルーテ, メイショウイチオシ
 メイショウサルーテ, アジアエクスプレス
 メイショウサルーテ, ルミニズム
 メイショウサルーテ, ドリームカイザー
 メイショウサルーテ, ペガサスジュニア
