 ロスカボス, スマートオーディン
 ロスカボス, プロディガルサン
 ロスカボス, マイネルラフレシア
 ロスカボス, キラージョー
 ロスカボス, ハレルヤボーイ
 ロスカボス, タイセイサミット
 ロスカボス, アグレアーブル
 ロスカボス, レインボーライン
 ロスカボス, ダイワリアクション
 ロスカボス, カミノライデン
 ロスカボス, ヴァンキッシュラン
 ロスカボス, レッドエルディスト
 ロスカボス, レーヴァテイン
 ロスカボス, メートルダール
 ロスカボス, ラヴアンドポップ
 ロスカボス, ノーブルマーズ
 ロスカボス, マイネルハニー
 ロスカボス, アルカサル
 ロスカボス, フレンドミラクル
 ロスカボス, ドンチャブ
 ロスカボス, タンサンドール
