 ウィンドライジズ, ブレスジャーニー
 ウィンドライジズ, ダンビュライト
 ウィンドライジズ, クライムメジャー
 ウィンドライジズ, バリンジャー
 ウィンドライジズ, セイウングロリアス
 ウィンドライジズ, ロジムーン
 ウィンドライジズ, サクセスムーン
 ウィンドライジズ, シャイニードライヴ
