 スズカバーディー, スマートオーディン
 スズカバーディー, アグネスフォルテ
 スズカバーディー, ロイカバード
 スズカバーディー, ブラックスピネル
 スズカバーディー, エルプシャフト
 スズカバーディー, エルリストン
 スズカバーディー, スワーヴアーサー
 スズカバーディー, ゼンノタヂカラオ
 スズカバーディー, ダンツエイコウ
 スズカバーディー, ユウチェンジ
 スズカバーディー, フォルテミノル
 スズカバーディー, カルムパシオン
 スズカバーディー, アドマイヤビスタ
