 サクセスムーン, ブレスジャーニー
 サクセスムーン, ダンビュライト
 サクセスムーン, クライムメジャー
 サクセスムーン, ウィンドライジズ
 サクセスムーン, バリンジャー
 サクセスムーン, セイウングロリアス
 サクセスムーン, ロジムーン
 サクセスムーン, シャイニードライヴ
