 キャナルストリート, モズカッチャン
 キャナルストリート, ヤマカツグレース
 キャナルストリート, フローレスマジック
 キャナルストリート, タガノアスワド
 キャナルストリート, レッドコルディス
 キャナルストリート, アロンザモナ
 キャナルストリート, アドマイヤローザ
 キャナルストリート, ホウオウパフューム
 キャナルストリート, ビルズトレジャー
 キャナルストリート, ニシノアモーレ
 キャナルストリート, ザクイーン
 キャナルストリート, ドリームマジック
 キャナルストリート, ディーパワンサ
 キャナルストリート, レッドミラベル
 キャナルストリート, ピスカデーラ
 キャナルストリート, ラユロット
 キャナルストリート, メイショウササユリ
