 ラハトケレブ, エアスピネル
 ラハトケレブ, シュウジ
 ラハトケレブ, ノーブルマーズ
 ラハトケレブ, ナイトオブナイツ
 ラハトケレブ, リッチーリッチー
 ラハトケレブ, エイシンギガント
 ラハトケレブ, ウインムート
 ラハトケレブ, テイエムハヤブサ
 ラハトケレブ, クラウンドジャック
 ラハトケレブ, デピュティスカイ
 ラハトケレブ, キングライオン
 ラハトケレブ, メイプルキング
 ラハトケレブ, ウォーターミリオン
