 クリノヤクマン, オーミアリス
 クリノヤクマン, レオパルディナ
 クリノヤクマン, スノーエンジェル
 クリノヤクマン, ゼンノイザナギ
 クリノヤクマン, リッパーザウィン
 クリノヤクマン, タガノアザガル
 クリノヤクマン, セカンドテーブル
 クリノヤクマン, タガノヴェルリー
 クリノヤクマン, デイドリーム
 クリノヤクマン, ダンツメガヒット
 クリノヤクマン, オメガタックスマン
 クリノヤクマン, クールホタルビ
 クリノヤクマン, ノーブルルージュ
 クリノヤクマン, メイショウマサカゼ
 クリノヤクマン, ロットリー
 クリノヤクマン, ヒマラヤテンカ
 クリノヤクマン, タムロダイチ
