 サトノリュウガ, プラチナムバレット
 サトノリュウガ, サトノクロニクル
 サトノリュウガ, ダノンディスタンス
 サトノリュウガ, ミッキースワロー
 サトノリュウガ, ゴールドハット
 サトノリュウガ, インヴィクタ
 サトノリュウガ, メルヴィンカズマ
 サトノリュウガ, ウインベラシアス
 サトノリュウガ, ハギノアレス
 サトノリュウガ, カケルテソーロ
 サトノリュウガ, ユキノタイガ
