 トーホウハニー, ミュゼスルタン
 トーホウハニー, アヴニールマルシェ
 トーホウハニー, ニシノラッシュ
 トーホウハニー, コメート
 トーホウハニー, ブリクスト
 トーホウハニー, ナヴィオン
 トーホウハニー, カシノハリウッド
 トーホウハニー, ワキノヒビキ
 トーホウハニー, ハナモモ
 トーホウハニー, ヒルノマレット
 トーホウハニー, ギンパリ
 トーホウハニー, ディアコンチェルト
 トーホウハニー, テイケイラピッド
 トーホウハニー, ゴッドバローズ
 トーホウハニー, ラミーロ
 トーホウハニー, コスモピーコック
 トーホウハニー, グラスエトワール
