 スタッドジェルラン, ニホンピロアワーズ
 スタッドジェルラン, グランドシチー
 スタッドジェルラン, マイネルバイカ
 スタッドジェルラン, ダブルスター
 スタッドジェルラン, サトノプリンシパル
 スタッドジェルラン, グラッツィア
 スタッドジェルラン, ヴァンヌーヴォー
 スタッドジェルラン, グレープブランデー
 スタッドジェルラン, ソリタリーキング
 スタッドジェルラン, ナムラタイタン
 スタッドジェルラン, ケイアイレオーネ
 スタッドジェルラン, ゲシュタルト
 スタッドジェルラン, オースミイチバン
 スタッドジェルラン, サイレントメロディ
 スタッドジェルラン, アドバンスウェイ
