 スワーヴアーサー, スマートオーディン
 スワーヴアーサー, アグネスフォルテ
 スワーヴアーサー, ロイカバード
 スワーヴアーサー, ブラックスピネル
 スワーヴアーサー, エルプシャフト
 スワーヴアーサー, エルリストン
 スワーヴアーサー, ゼンノタヂカラオ
 スワーヴアーサー, スズカバーディー
 スワーヴアーサー, ダンツエイコウ
 スワーヴアーサー, ユウチェンジ
 スワーヴアーサー, フォルテミノル
 スワーヴアーサー, カルムパシオン
 スワーヴアーサー, アドマイヤビスタ
