 ラインハーディー, フォーエバーモア
 ラインハーディー, マジックタイム
 ラインハーディー, ニシノアカツキ
 ラインハーディー, プレミアステイタス
 ラインハーディー, デルマサリーチャン
 ラインハーディー, セレナビアンカ
 ラインハーディー, グリサージュ
 ラインハーディー, ダイワソフィー
 ラインハーディー, タイセイティグレス
 ラインハーディー, シュヴァリエ
 ラインハーディー, サクラパリュール
 ラインハーディー, フリュクティドール
 ラインハーディー, デルフィーノ
 ラインハーディー, カノーロ
 ラインハーディー, ツクバアスナロ
