 ベロセットレコード, エーシンホワイティ
 ベロセットレコード, ヤマカツハクリュウ
 ベロセットレコード, ホッコーゼニト
 ベロセットレコード, メイショウヨウドウ
 ベロセットレコード, メジロサンノウ
 ベロセットレコード, アムールクエスト
 ベロセットレコード, マイネルフィエスタ
 ベロセットレコード, ネオレボルーション
 ベロセットレコード, エーシンイグアス
 ベロセットレコード, ショウナンカミング
 ベロセットレコード, シゲルキョクチョウ
 ベロセットレコード, ピカピカテッタ
 ベロセットレコード, アサティスボーイ
