 ブレイクアウト, マキオボーラー
 ブレイクアウト, メイショウアラワシ
 ブレイクアウト, マイネルアダマス
 ブレイクアウト, リヴゴーシュ
 ブレイクアウト, ダンツメガヒット
 ブレイクアウト, ラガーギアチェンジ
 ブレイクアウト, クリノダイコクテン
 ブレイクアウト, ドリームセーリング
 ブレイクアウト, ビップハテンコウ
 ブレイクアウト, ショウリュウバイオ
