 アポロジョージア, ブレイブスマッシュ
 アポロジョージア, イモータル
 アポロジョージア, アストラエンブレム
 アポロジョージア, リセエンヌ
 アポロジョージア, ハレルヤボーイ
 アポロジョージア, シトロン
 アポロジョージア, トウショウドラフタ
 アポロジョージア, クラウンスカイ
 アポロジョージア, ゴッドカリビアン
 アポロジョージア, マコトルーメン
 アポロジョージア, コスモプロテア
