 マイネルエスパス, アクティブミノル
 マイネルエスパス, タケデンタイガー
 マイネルエスパス, トウショウピスト
 マイネルエスパス, トーセンラーク
 マイネルエスパス, アンブリカル
 マイネルエスパス, キッズライトオン
 マイネルエスパス, クールホタルビ
 マイネルエスパス, グランドポピー
 マイネルエスパス, スルターナ
 マイネルエスパス, カゼノトビラ
 マイネルエスパス, マコトダッソー
 マイネルエスパス, タケルオウジ
 マイネルエスパス, ディアタイガ
 マイネルエスパス, ティーズアライズ
 マイネルエスパス, エンターザスフィア
