 バトルボンネビル, ニホンピロバロン
 バトルボンネビル, アップトゥデイト
 バトルボンネビル, テイエムシシーポス
 バトルボンネビル, アロヒラニ
 バトルボンネビル, ツイセキシャ
 バトルボンネビル, リスヴェリアート
 バトルボンネビル, ミヤコデラックス
 バトルボンネビル, ウインアーマー
 バトルボンネビル, ゴールデンヒーロー
 バトルボンネビル, ウメジマダイオー
