 タイセイソニック, アサクサゲンキ
 タイセイソニック, アイアンクロー
 タイセイソニック, バーニングペスカ
 タイセイソニック, ヴァイザー
 タイセイソニック, イイコトズクシ
 タイセイソニック, ペイシャルアス
 タイセイソニック, モズスーパーフレア
 タイセイソニック, スーサンドン
 タイセイソニック, オーロスターキス
 タイセイソニック, ルリハリ
 タイセイソニック, シトリカ
 タイセイソニック, ナムラアッパレ
 タイセイソニック, テイエムスグレモン
 タイセイソニック, ナムラバンザイ
 タイセイソニック, ジュンドリーム
 タイセイソニック, ニシノダンテ
 タイセイソニック, フローラルシトラス
