 マイティーワークス, タワーオブロンドン
 マイティーワークス, カシアス
 マイティーワークス, アサクサゲンキ
 マイティーワークス, ピースユニヴァース
 マイティーワークス, ニシノウララ
 マイティーワークス, トーセンアンバー
 マイティーワークス, エントシャイデン
 マイティーワークス, タイセイプライド
 マイティーワークス, モリノラスボス
 マイティーワークス, トキノメガミ
