 ロジャージーニアス, ロックディスタウン
 ロジャージーニアス, ファストアプローチ
 ロジャージーニアス, ダブルシャープ
 ロジャージーニアス, シスターフラッグ
 ロジャージーニアス, コスモインザハート
 ロジャージーニアス, クリノクーニング
 ロジャージーニアス, ミスマンマミーア
 ロジャージーニアス, ロードトレジャー
 ロジャージーニアス, マツカゼ
 ロジャージーニアス, カレンシリエージョ
 ロジャージーニアス, ディバインブリーズ
 ロジャージーニアス, ヴィオトポス
 ロジャージーニアス, サージュミノル
