 オーデットエール, フロンティア
 オーデットエール, コーディエライト
 オーデットエール, テンクウ
 オーデットエール, エングローサー
 オーデットエール, キボウノダイチ
 オーデットエール, プレトリア
 オーデットエール, マイネルサイルーン
 オーデットエール, シンデレラメイク
 オーデットエール, フィルハーモニー
 オーデットエール, トッカータ
 オーデットエール, ムスコローソ
 オーデットエール, ダンツセイケイ
 オーデットエール, ラインギャラント
 オーデットエール, グランデウィーク
