 シュシュブリーズ, ベルカント
 シュシュブリーズ, ニホンピロアンバー
 シュシュブリーズ, エスメラルディーナ
 シュシュブリーズ, アドマイヤビジン
 シュシュブリーズ, ホウライアキコ
 シュシュブリーズ, ダンスアミーガ
 シュシュブリーズ, マイネヴァリエンテ
 シュシュブリーズ, ヤマノフェアリー
 シュシュブリーズ, ホッコーサラスター
 シュシュブリーズ, アキノクリンチ
 シュシュブリーズ, レムミラス
 シュシュブリーズ, フクノドリーム
 シュシュブリーズ, グランシェリー
 シュシュブリーズ, リアルヴィーナス
 シュシュブリーズ, ノーブルサイレンス
