 リッジマン, アドマイヤエイカン
 リッジマン, プロフェット
 リッジマン, クロコスミア
 リッジマン, ラヴアンドポップ
 リッジマン, アラバスター
 リッジマン, スパーキングジョイ
 リッジマン, アラモアナワヒネ
 リッジマン, ペイシャフェリシタ
 リッジマン, ディーズプラネット
 リッジマン, アフターダーク
 リッジマン, リアルキング
 リッジマン, ペイシャオブマーシ
 リッジマン, ネコダンサー
