 カシアス, ウインジェルベーラ
 カシアス, アリア
 カシアス, デルマキセキ
 カシアス, パッセ
 カシアス, ナンヨープランタン
 カシアス, リンガラポップス
 カシアス, スズカマンサク
 カシアス, ダンツクレイオー
 カシアス, ジェッシージェニー
 カシアス, ガウラミディ
 カシアス, ベイビーキャズ
 カシアス, ヤマノファイト
 カシアス, サンダベンポート
 カシアス, キタノユウキ
 カシアス, モルトアレグロ
 カシアス, タワーオブロンドン
 カシアス, アサクサゲンキ
 カシアス, ピースユニヴァース
 カシアス, ニシノウララ
 カシアス, トーセンアンバー
 カシアス, エントシャイデン
 カシアス, タイセイプライド
 カシアス, マイティーワークス
 カシアス, モリノラスボス
 カシアス, トキノメガミ
