 セイウングロリアス, ブレスジャーニー
 セイウングロリアス, ダンビュライト
 セイウングロリアス, クライムメジャー
 セイウングロリアス, ウィンドライジズ
 セイウングロリアス, バリンジャー
 セイウングロリアス, ロジムーン
 セイウングロリアス, サクセスムーン
 セイウングロリアス, シャイニードライヴ
