 ジャポニカーラ, アルビアーノ
 ジャポニカーラ, アースライズ
 ジャポニカーラ, ディアマイダーリン
 ジャポニカーラ, ロッカフラベイビー
 ジャポニカーラ, ローデッド
 ジャポニカーラ, ティーエスクライ
 ジャポニカーラ, ジュエルメーカー
 ジャポニカーラ, ホワイトエレガンス
 ジャポニカーラ, カゼルタ
 ジャポニカーラ, ココ
 ジャポニカーラ, ノットフォーマル
 ジャポニカーラ, エグランティーナ
 ジャポニカーラ, アフェクシオン
 ジャポニカーラ, サトノフラリッシュ
 ジャポニカーラ, ホワイトフーガ
