 オーロスターキス, アサクサゲンキ
 オーロスターキス, アイアンクロー
 オーロスターキス, バーニングペスカ
 オーロスターキス, ヴァイザー
 オーロスターキス, イイコトズクシ
 オーロスターキス, ペイシャルアス
 オーロスターキス, モズスーパーフレア
 オーロスターキス, スーサンドン
 オーロスターキス, タイセイソニック
 オーロスターキス, ルリハリ
 オーロスターキス, シトリカ
 オーロスターキス, ナムラアッパレ
 オーロスターキス, テイエムスグレモン
 オーロスターキス, ナムラバンザイ
 オーロスターキス, ジュンドリーム
 オーロスターキス, ニシノダンテ
 オーロスターキス, フローラルシトラス
