 アラバスター, アドマイヤエイカン
 アラバスター, プロフェット
 アラバスター, クロコスミア
 アラバスター, ラヴアンドポップ
 アラバスター, スパーキングジョイ
 アラバスター, リッジマン
 アラバスター, アラモアナワヒネ
 アラバスター, ペイシャフェリシタ
 アラバスター, ディーズプラネット
 アラバスター, アフターダーク
 アラバスター, リアルキング
 アラバスター, ペイシャオブマーシ
 アラバスター, ネコダンサー
