 ヤマノファイト, カシアス
 ヤマノファイト, ウインジェルベーラ
 ヤマノファイト, アリア
 ヤマノファイト, デルマキセキ
 ヤマノファイト, パッセ
 ヤマノファイト, ナンヨープランタン
 ヤマノファイト, リンガラポップス
 ヤマノファイト, スズカマンサク
 ヤマノファイト, ダンツクレイオー
 ヤマノファイト, ジェッシージェニー
 ヤマノファイト, ガウラミディ
 ヤマノファイト, ベイビーキャズ
 ヤマノファイト, サンダベンポート
 ヤマノファイト, キタノユウキ
 ヤマノファイト, モルトアレグロ
