 バティスティーニ, ハートレー
 バティスティーニ, ロードクエスト
 バティスティーニ, ブラックスピネル
 バティスティーニ, アドマイヤエイカン
 バティスティーニ, プランスシャルマン
 バティスティーニ, ブレイブスマッシュ
 バティスティーニ, プレイヤーサムソン
 バティスティーニ, オンザロックス
 バティスティーニ, クラウンスカイ
 バティスティーニ, ラブレオ
 バティスティーニ, ネコダンサー
 バティスティーニ, ディーマジェスティ
