 リッパーザウィン, オーミアリス
 リッパーザウィン, レオパルディナ
 リッパーザウィン, スノーエンジェル
 リッパーザウィン, ゼンノイザナギ
 リッパーザウィン, タガノアザガル
 リッパーザウィン, セカンドテーブル
 リッパーザウィン, タガノヴェルリー
 リッパーザウィン, デイドリーム
 リッパーザウィン, ダンツメガヒット
 リッパーザウィン, クリノヤクマン
 リッパーザウィン, オメガタックスマン
 リッパーザウィン, クールホタルビ
 リッパーザウィン, ノーブルルージュ
 リッパーザウィン, メイショウマサカゼ
 リッパーザウィン, ロットリー
 リッパーザウィン, ヒマラヤテンカ
 リッパーザウィン, タムロダイチ
