 ゴールデンヒーロー, タイセイドリーム
 ゴールデンヒーロー, アロヒラニ
 ゴールデンヒーロー, ティリアンパープル
 ゴールデンヒーロー, タナトス
 ゴールデンヒーロー, ウインヤード
 ゴールデンヒーロー, ポールシッター
 ゴールデンヒーロー, アップトゥデイト
 ゴールデンヒーロー, マイネルクレイズ
 ゴールデンヒーロー, コスモパルダ
 ゴールデンヒーロー, ウインイルソーレ
 ゴールデンヒーロー, ラステラ
 ゴールデンヒーロー, エーシンホワイティ
 ゴールデンヒーロー, ロンギングケイシー
 ゴールデンヒーロー, ニホンピロバロン
 ゴールデンヒーロー, テイエムシシーポス
 ゴールデンヒーロー, ツイセキシャ
 ゴールデンヒーロー, リスヴェリアート
 ゴールデンヒーロー, ミヤコデラックス
 ゴールデンヒーロー, ウインアーマー
 ゴールデンヒーロー, バトルボンネビル
 ゴールデンヒーロー, ウメジマダイオー
