 シャイニードライヴ, ブレスジャーニー
 シャイニードライヴ, ダンビュライト
 シャイニードライヴ, クライムメジャー
 シャイニードライヴ, ウィンドライジズ
 シャイニードライヴ, バリンジャー
 シャイニードライヴ, セイウングロリアス
 シャイニードライヴ, ロジムーン
 シャイニードライヴ, サクセスムーン
