 ブラックギムレット, ミッキースワロー
 ブラックギムレット, アルアイン
 ブラックギムレット, サトノクロニクル
 ブラックギムレット, スティッフェリオ
 ブラックギムレット, プラチナヴォイス
 ブラックギムレット, サンデームーティエ
 ブラックギムレット, サーレンブラント
 ブラックギムレット, クレッシェンドラヴ
 ブラックギムレット, クリンチャー
 ブラックギムレット, ストロングレヴィル
 ブラックギムレット, サンシロウ
 ブラックギムレット, ローリングタワー
 ブラックギムレット, インペリアルフィズ
 ブラックギムレット, ブラックロード
