 ロジムーン, ブレスジャーニー
 ロジムーン, ダンビュライト
 ロジムーン, クライムメジャー
 ロジムーン, ウィンドライジズ
 ロジムーン, バリンジャー
 ロジムーン, セイウングロリアス
 ロジムーン, サクセスムーン
 ロジムーン, シャイニードライヴ
