 クライムメジャー, ブレスジャーニー
 クライムメジャー, ダンビュライト
 クライムメジャー, ウィンドライジズ
 クライムメジャー, バリンジャー
 クライムメジャー, セイウングロリアス
 クライムメジャー, ロジムーン
 クライムメジャー, サクセスムーン
 クライムメジャー, シャイニードライヴ
 クライムメジャー, ジョーストリクトリ
 クライムメジャー, メイソンジュニア
 クライムメジャー, ボンセルヴィーソ
 クライムメジャー, スズカゼ
 クライムメジャー, タイムトリップ
 クライムメジャー, スズカメジャー
 クライムメジャー, タイセイスターリー
 クライムメジャー, ダイイチターミナル
 クライムメジャー, ナイトバナレット
 クライムメジャー, カリビアンゴールド
 クライムメジャー, イノバティブ
 クライムメジャー, ランガディア
 クライムメジャー, ジャッキー
 クライムメジャー, マンカストラップ
 クライムメジャー, セイカチトセ
