 ジェッシージェニー, カシアス
 ジェッシージェニー, ウインジェルベーラ
 ジェッシージェニー, アリア
 ジェッシージェニー, デルマキセキ
 ジェッシージェニー, パッセ
 ジェッシージェニー, ナンヨープランタン
 ジェッシージェニー, リンガラポップス
 ジェッシージェニー, スズカマンサク
 ジェッシージェニー, ダンツクレイオー
 ジェッシージェニー, ガウラミディ
 ジェッシージェニー, ベイビーキャズ
 ジェッシージェニー, ヤマノファイト
 ジェッシージェニー, サンダベンポート
 ジェッシージェニー, キタノユウキ
 ジェッシージェニー, モルトアレグロ
