 ドリームチャージ, メイショウブシドウ
 ドリームチャージ, アラタマユニバース
 ドリームチャージ, グリッターウイング
 ドリームチャージ, オースミムーン
 ドリームチャージ, チョイワルグランパ
 ドリームチャージ, アシュヴィン
 ドリームチャージ, シンワカントリー
 ドリームチャージ, バードバーニング
 ドリームチャージ, マイネルガヴロシュ
 ドリームチャージ, コウエイキング
 ドリームチャージ, ピカピカテッタ
 ドリームチャージ, クレバーベスト
 ドリームチャージ, ニライジンク
