 インヴィクタ, トラスト
 インヴィクタ, ブラックオニキス
 インヴィクタ, アドマイヤウイナー
 インヴィクタ, エトルディーニュ
 インヴィクタ, フラワープレミア
 インヴィクタ, ジャコマル
 インヴィクタ, タガノアシュラ
 インヴィクタ, アンノートル
 インヴィクタ, ディープウォーリア
 インヴィクタ, トリオンフ
 インヴィクタ, コリエドール
 インヴィクタ, コパノカーニバル
 インヴィクタ, プラチナムバレット
 インヴィクタ, サトノクロニクル
 インヴィクタ, ダノンディスタンス
 インヴィクタ, サトノリュウガ
 インヴィクタ, ミッキースワロー
 インヴィクタ, ゴールドハット
 インヴィクタ, メルヴィンカズマ
 インヴィクタ, ウインベラシアス
 インヴィクタ, ハギノアレス
 インヴィクタ, カケルテソーロ
 インヴィクタ, ユキノタイガ
