 クロスクリーガー, ダノンリバティ
 クロスクリーガー, タマノブリュネット
 クロスクリーガー, ゴールデンバローズ
 クロスクリーガー, カラパナビーチ
 クロスクリーガー, ノボバカラ
 クロスクリーガー, ダイワインパルス
 クロスクリーガー, ライドオンウインド
 クロスクリーガー, オールブラッシュ
 クロスクリーガー, センチュリオン
 クロスクリーガー, デブリン
 クロスクリーガー, クワドループル
 クロスクリーガー, シンゼンガンプ
 クロスクリーガー, ラッキープリンス
 クロスクリーガー, ディアドムス
