 レディトリス, ブランボヌール
 レディトリス, メジャータイフーン
 レディトリス, ヒルダ
 レディトリス, タイニーダンサー
 レディトリス, マコトルーメン
 レディトリス, ラッキーボックス
 レディトリス, メジェルダ
 レディトリス, ラプレシオーサ
 レディトリス, コスモフレンチ
 レディトリス, アルマククナ
 レディトリス, ドナルチア
 レディトリス, コラッジョーゾ
 レディトリス, リンダリンダ
 レディトリス, オデュッセウス
 レディトリス, ペイシャオトメ
