 ナムラバンザイ, アサクサゲンキ
 ナムラバンザイ, アイアンクロー
 ナムラバンザイ, バーニングペスカ
 ナムラバンザイ, ヴァイザー
 ナムラバンザイ, イイコトズクシ
 ナムラバンザイ, ペイシャルアス
 ナムラバンザイ, モズスーパーフレア
 ナムラバンザイ, スーサンドン
 ナムラバンザイ, タイセイソニック
 ナムラバンザイ, オーロスターキス
 ナムラバンザイ, ルリハリ
 ナムラバンザイ, シトリカ
 ナムラバンザイ, ナムラアッパレ
 ナムラバンザイ, テイエムスグレモン
 ナムラバンザイ, ジュンドリーム
 ナムラバンザイ, ニシノダンテ
 ナムラバンザイ, フローラルシトラス
